key,market,book,player_id,player,opp_ids,opponent,book_odds,dg_fair_p,dg_fair_odds,ev_vs_dg,event,ts,close_odds,close_dg_fair_p,clv_pct,beat,ev_at_close,flagged
"3_balls bet365 25362 13900,23323",3_balls,bet365,25362,"Fitzpatrick, Alex","13900,23323","Lowry, Shane / MacIntyre, Robert",2.8,0.32802,3.049,-0.0816,RBC Canadian Open,2026-06-10 09:51:07.45615,2.8,0.32802,0,FALSE,-0.0815440000000002,FALSE
"3_balls bet365 25475 23048,35395",3_balls,bet365,25475,"Nyholm, Pontus","23048,35395","Stanger, Jimmy / Sanderson, Calen",2.2,0.45059,2.219,-0.0087,RBC Canadian Open,2026-06-10 09:51:07.45615,2.2,0.45059,0,FALSE,-0.00870199999999999,FALSE
"3_balls bet365 25908 10104,19840",3_balls,bet365,25908,"Whaley, Vince","10104,19840","Power, Seamus / Ramey, Chad",2.9,0.31597,3.165,-0.0837,RBC Canadian Open,2026-06-10 09:51:07.45615,2.9,0.31597,0,FALSE,-0.0836870000000001,FALSE
"3_balls bet365 26617 25319,26850",3_balls,bet365,26617,"Anderson, Matthew","25319,26850","VanDerLaan, John / Svensson, Jesper",3.6,0.2379,4.203,-0.1436,RBC Canadian Open,2026-06-10 09:51:07.45615,3.6,0.2379,0,FALSE,-0.14356,FALSE
"3_balls bet365 26649 21756,27164",3_balls,bet365,26649,"Thorbjornsen, Michael","21756,27164","Cole, Eric / Phillips, Chandler",2.37,0.3921,2.55,-0.0707,RBC Canadian Open,2026-06-10 09:51:07.45615,2.37,0.3921,0,FALSE,-0.070723,FALSE
"3_balls bet365 26653 18586,24766",3_balls,bet365,26653,"Eckroat, Austin","18586,24766","Smith, Jordan / Kim, Tom",3.2,0.27567,3.628,-0.1179,RBC Canadian Open,2026-06-10 09:51:07.45615,3.2,0.27567,0,FALSE,-0.117856,FALSE
"3_balls bet365 26657 13508,17538",3_balls,bet365,26657,"Fisk, Steven","13508,17538","Vegas, Jhonattan / Homa, Max",2.5,0.37428,2.672,-0.0643,RBC Canadian Open,2026-06-10 09:51:07.45615,2.5,0.37428,0,FALSE,-0.0643,FALSE
"3_balls bet365 26850 25319,26617",3_balls,bet365,26850,"Svensson, Jesper","25319,26617","VanDerLaan, John / Anderson, Matthew",2.25,0.40168,2.49,-0.0962,RBC Canadian Open,2026-06-10 09:51:07.45615,2.25,0.40168,0,FALSE,-0.0962200000000001,FALSE
"3_balls bet365 27164 21756,26649",3_balls,bet365,27164,"Phillips, Chandler","21756,26649","Cole, Eric / Thorbjornsen, Michael",4.5,0.18927,5.283,-0.1483,RBC Canadian Open,2026-06-10 09:51:07.45615,4.5,0.18927,0,FALSE,-0.148285,FALSE
"3_balls bet365 27194 19477,27900",3_balls,bet365,27194,"Hall, Harry","19477,27900","Schenk, Adam / Potgieter, Aldrich",2.2,0.45229,2.211,-0.005,RBC Canadian Open,2026-06-10 09:51:07.45615,2.2,0.45229,0,FALSE,-0.00496199999999991,FALSE
