event_id,year,player_id,open_am,close_am,top20,wave,is_calm,wind_gap,open_dec,close_dec,open_imp,fair_p,pnl_open,clv
10,2024,17550,300,280,1,PM,0,5.23333333333333,4,3.8,0.25,0.190678448718789,3,0.0526315789473684
10,2024,17576,180,180,0,AM,1,5.23333333333333,2.8,2.8,0.357142857142857,0.272397783883985,-1,0
10,2024,17606,175,190,0,PM,0,5.23333333333333,2.75,2.9,0.363636363636364,0.277350470863694,-1,-0.0517241379310345
10,2024,17639,800,900,0,PM,0,5.23333333333333,9,10,0.111111111111111,0.0847459772083508,-1,-0.1
10,2024,17646,140,165,0,PM,0,5.23333333333333,2.4,2.65,0.416666666666667,0.317797414531316,-1,-0.0943396226415094
10,2024,17723,600,450,0,PM,0,5.23333333333333,7,5.5,0.142857142857143,0.108959113553594,-1,0.272727272727273
10,2024,17780,280,320,0,PM,0,5.23333333333333,3.8,4.2,0.263157894736842,0.200714156546094,-1,-0.0952380952380953
10,2024,17881,450,450,1,PM,0,5.23333333333333,5.5,5.5,0.181818181818182,0.138675235431847,4.5,0
10,2024,18103,280,210,0,PM,0,5.23333333333333,3.8,3.1,0.263157894736842,0.200714156546094,-1,0.225806451612903
10,2024,18187,550,550,0,AM,1,5.23333333333333,6.5,6.5,0.153846153846154,0.117340583826947,-1,0
10,2024,18474,500,650,0,AM,1,5.23333333333333,6,7.5,0.166666666666667,0.127118965812526,-1,-0.2
10,2024,18634,400,300,0,AM,1,5.23333333333333,5,4,0.2,0.152542758975031,-1,0.25
10,2024,18635,700,650,0,PM,0,5.23333333333333,8,7.5,0.125,0.0953392243593946,-1,0.0666666666666667
10,2024,19396,240,260,1,AM,1,5.23333333333333,3.4,3.6,0.294117647058824,0.224327586727987,2.4,-0.0555555555555556
10,2024,19477,360,300,0,PM,0,5.23333333333333,4.6,4,0.217391304347826,0.165807346711991,-1,0.15
10,2024,19840,900,900,0,AM,1,5.23333333333333,10,10,0.1,0.0762713794875157,-1,0
10,2024,19865,700,750,0,AM,1,5.23333333333333,8,8.5,0.125,0.0953392243593946,-1,-0.0588235294117647
10,2024,19870,230,220,0,PM,0,5.23333333333333,3.3,3.2,0.303030303030303,0.231125392386411,-1,0.0312499999999998
10,2024,19872,850,850,0,AM,1,5.23333333333333,9.5,9.5,0.105263157894737,0.0802856626184376,-1,0
10,2024,19948,1800,2200,0,PM,0,5.23333333333333,19,23,0.0526315789473684,0.0401428313092188,-1,-0.173913043478261
