course_name,event_id,year,event_name,n,am_tee,pm_tee,am_score,pm_score,r1_date,gap_score,lat,lon,am_wind,pm_wind,am_gust,pm_gust,wind_gap,gust_gap
Keene Trace Golf Club (Champions Course),518,2023,Barbasol Championship,155,7.85,13.2666666666667,70.6233766233766,70.9102564102564,2023-07-13,0.28687978687978,37.918,-84.573,7.3,7.4,18.2166666666667,21.2333333333333,0.0999999999999996,3.01666666666667
La Quinta Country Club,2,2022,The American Express,156,9.08333333333333,10.1666666666667,69.9583333333333,70.0119047619048,2022-01-20,0.0535714285714306,33.6898791,-116.3041035,9.21666666666667,9.8,17.0833333333333,18.55,0.583333333333334,1.46666666666667
La Quinta Country Club,2,2023,The American Express,156,9.05,10.275,69.3421052631579,69.25,2023-01-19,-0.0921052631578902,33.6898791,-116.3041035,3.7,4.4,8.93333333333333,10.3833333333333,0.7,1.45
Liberty National Golf Club,27,2021,THE NORTHERN TRUST,123,8.06666666666667,12.9166666666667,71.3389830508475,71.234375,2021-08-19,-0.10460805084746,40.6940702,-74.0740923,13.4833333333333,14.4166666666667,24.55,26.3833333333333,0.933333333333332,1.83333333333333
Memorial Park Golf Course,20,2021,Hewlett Packard Enterprise Houston Open,132,10.0833333333333,14.8333333333333,70.2272727272727,70.2878787878788,2021-11-11,0.0606060606060481,29.7712695,-95.4370656,7.98333333333333,9.46666666666667,15.45,18.0833333333333,1.48333333333333,2.63333333333333
Memorial Park Golf Course,20,2022,Cadence Bank Houston Open,132,7.58333333333333,12.3333333333333,71.030303030303,70.1212121212121,2022-11-10,-0.909090909090907,29.7712695,-95.4370656,5.83333333333333,4.81666666666667,10.9333333333333,11.5666666666667,-1.01666666666667,0.633333333333333
Memorial Park Golf Course,20,2024,Texas Children's Houston Open,144,8.34166666666667,13.3416666666667,70.2083333333333,70.6527777777778,2024-03-28,0.444444444444443,29.7712695,-95.4370656,3.86666666666667,3.55,9.91666666666667,10.9666666666667,-0.316666666666667,1.05
Memorial Park Golf Course,20,2025,Texas Children's Houston Open,153,8.51666666666667,13.6,70.1578947368421,70.4285714285714,2025-03-27,0.270676691729321,29.7712695,-95.4370656,7.15,9.43333333333333,15.6,22.5166666666667,2.28333333333333,6.91666666666667
Nicklaus Tournament Course,2,2024,The American Express,156,8.95833333333333,10.15,68.9444444444445,68.5,2024-01-18,-0.444444444444443,33.7,-116.245,1.55,1.76666666666667,5.56666666666667,7.06666666666667,0.216666666666667,1.5
Nicklaus Tournament Course,2,2025,The American Express,156,8.95833333333333,10.15,69.6944444444445,69.4404761904762,2025-01-16,-0.253968253968253,33.7,-116.245,3.45,2.81666666666667,9.65,11.0166666666667,-0.633333333333334,1.36666666666667
Oak Hill Country Club,33,2023,PGA Championship,156,9.975,15.3916666666667,73.7435897435897,73.6153846153846,2023-05-18,-0.128205128205124,43.1130973,-77.5326063,3.21666666666667,5.23333333333333,12.3166666666667,14.0833333333333,2.01666666666667,1.76666666666667
Ocean Course at Kiawah Island,33,2021,PGA Championship,155,8.1,13.5166666666667,74.2666666666667,75.2625,2021-05-20,0.995833333333337,32.6174674,-80.0195337,11.5,12.1833333333333,24.1666666666667,26.35,0.683333333333334,2.18333333333333
Olympia Fields Country Club (North Course),28,2023,BMW Championship,50,11.4416666666667,13.9,69.375,70.0384615384615,2023-08-17,0.663461538461533,41.5181015,-87.6879777,14,14.6166666666667,29.2333333333333,30.8166666666667,0.616666666666667,1.58333333333333
PGA National (Champion),10,2021,The Honda Classic,143,8.33333333333333,13.25,70.8939393939394,72,2021-03-18,1.10606060606061,26.8248567,-80.1439492,13.0833333333333,14.5166666666667,25.6833333333333,31.0166666666667,1.43333333333333,5.33333333333333
PGA National (Champion),10,2022,The Honda Classic,144,7.84166666666667,12.7583333333333,71.0694444444444,71.5,2022-02-24,0.430555555555557,26.8248567,-80.1439492,8.4,10.5666666666667,15.5166666666667,21.6666666666667,2.16666666666667,6.15
PGA National Resort (The Champion Course),10,2025,Cognizant Classic in The Palm Beaches,144,7.75833333333333,12.7583333333333,67.7361111111111,69.5138888888889,2025-02-27,1.77777777777777,26.8188047,-80.1435056,1.48333333333333,3.31666666666667,5.21666666666667,10.4333333333333,1.83333333333333,5.21666666666667
PGA National Resort (The Champion),10,2023,The Honda Classic,144,7.84166666666667,12.7583333333333,70.4583333333333,71.6805555555556,2023-02-23,1.22222222222223,26.8188047,-80.1435056,7.83333333333333,10.45,15.1833333333333,21.55,2.61666666666667,6.36666666666667
PGA National Resort (The Champion),10,2024,Cognizant Classic in The Palm Beaches,144,7.75833333333333,12.7583333333333,69.1666666666667,69.9305555555556,2024-02-29,0.763888888888886,26.8188047,-80.1435056,3.41666666666667,8.65,7.81666666666667,18.8333333333333,5.23333333333333,11.0166666666667
Pebble Beach Golf Links,5,2022,AT&T Pebble Beach Pro-Am,156,8.95833333333333,10.15,70.9583333333333,70.7380952380952,2022-02-03,-0.220238095238088,36.5696646,-121.9497413,4.9,5.28333333333333,11.4333333333333,13.2166666666667,0.383333333333333,1.78333333333333
