"i","week","bet_type","ev","stake","win","pnl","bankroll","drawdown"
383,12,"spread",0.269059711635113,61.88,1,56.249,1293.85,19
384,12,"spread",0.199652064263821,64.693,1,58.806,1352.66,15.3
385,12,"totals",0.315051261365414,67.633,0,-67.633,1285.02,19.6
386,12,"totals",0.368744139313698,64.251,1,58.404,1343.43,15.9
387,12,"spread",0.398452220857143,67.171,1,61.059,1404.49,12.1
388,13,"spread",0.374179547727108,70.224,1,63.834,1468.32,8.1
389,13,"totals",0.407368775725365,73.416,0,-73.416,1394.91,12.7
390,13,"spread",0.33746217995882,69.745,1,63.398,1458.3,8.7
391,13,"totals",0.457694747626782,72.915,0,-72.915,1385.39,13.3
392,13,"spread",0.233412835657597,69.269,1,62.966,1448.36,9.4
393,13,"totals",0.343562890827656,72.418,0,-72.418,1375.94,13.9
394,13,"spread",0.255881102025509,68.797,1,62.536,1438.47,10
395,13,"spread",0.261487984836102,71.924,1,65.379,1503.85,5.9
396,13,"totals",0.20089528208971,75.193,1,68.35,1572.2,1.6
397,13,"spread",0.15323723334074,66.26,1,60.23,1632.43,0
398,13,"totals",0.17515773743391,78.639,1,71.483,1703.92,0
399,13,"spread",0.170783376634121,80.033,1,72.75,1776.67,0
400,13,"totals",0.174861781954765,85.443,1,77.668,1854.33,0
401,13,"spread",0.173204271972179,88.333,1,80.295,1934.63,0
402,13,"totals",0.167342851519585,89.039,1,80.937,2015.57,0
403,13,"spread",0.424218439400196,100.778,0,-100.778,1914.79,5
404,13,"totals",0.259607114374638,95.739,0,-95.739,1819.05,9.8
